current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
0,1890700,Gy&#246;rgy  Heged&#369;s and Gy&#246;rgy  Hrabovszki and D&#225;niel  Heged&#369;s and Istv&#225;n  Siket,,,,"Effect of Object Oriented Refactorings on Testability, Error Proneness and Other Maintainability Attributes",8:1--8:7,8,7,"ISO 9126 quality model, code metrics, error proneness, refactoring, static software measurement, testability",10.1145/1890692.1890700,,,,,,,2010,,Proceedings of the 1st Workshop on Testing Object-Oriented Systems,ETOOS '10,,978-1-4503-0538-9,"Maribor, Slovenia",ACM,"New York, NY, USA"
1,1287683,Osamu  Mizuno and Tohru  Kikuno,,,,Training on Errors Experiment to Detect Fault-prone Software Modules by Spam Filter,405--414,,10,"fault-prone modules, spam filter, text mining",10.1145/1287624.1287683,,,,,,,2007,,Proceedings of the the 6th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering,ESEC-FSE '07,,978-1-59593-811-4,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
2,2304513,Lyublena  Antova and Konstantinos  Krikellas and Florian M. Waas,,,,"Automatic Capture of Minimal, Portable, and Executable Bug Repros Using AMPERe",2:1--2:6,2,6,"query optimization, software quality",10.1145/2304510.2304513,,,,,,,2012,,Proceedings of the Fifth International Workshop on Testing Database Systems,DBTest '12,,978-1-4503-1429-9,"Scottsdale, Arizona",ACM,"New York, NY, USA"
3,2020991,Ruchika  Malhotra and Ankita  Jain,,,,Software Fault Prediction for Object Oriented Systems: A Literature Review,1--6,,6,"empirical validation, fault proneness, metrics, object oriented, software quality",10.1145/2020976.2020991,SIGSOFT Softw. Eng. Notes,11-Sep,36,5,,September,2011,0163-5948,,,,,,ACM,"New York, NY, USA"
4,1138011,Peter  Wei&#223;gerber and Stephan  Diehl,,,,Are Refactorings Less Error-prone Than Other Changes?,112--118,,7,"re-engineering, refactoring, reverse engineering, software evolution",10.1145/1137983.1138011,,,,,,,2006,,Proceedings of the 2006 International Workshop on Mining Software Repositories,MSR '06,,1-59593-397-2,"Shanghai, China",ACM,"New York, NY, USA"
5,1456370,Michael  Gegick and Laurie  Williams and Jason  Osborne and Mladen  Vouk,,,,Prioritizing Software Security Fortification Throughcode-level Metrics,31--38,,8,"attack-prone, vulnerability-prone",10.1145/1456362.1456370,,,,,,,2008,,Proceedings of the 4th ACM Workshop on Quality of Protection,QoP '08,,978-1-60558-321-1,"Alexandria, Virginia, USA",ACM,"New York, NY, USA"
6,337592,Giovanni  Denaro,,,,Estimating Software Fault-proneness for Tuning Testing Activities,704--706,,3,,10.1145/337180.337592,,,,,,,2000,,Proceedings of the 22Nd International Conference on Software Engineering,ICSE '00,,1-58113-206-9,"Limerick, Ireland",ACM,"New York, NY, USA"
7,1370794,Shinya  Watanabe and Haruhiko  Kaiya and Kenji  Kaijiri,,,,Adapting a Fault Prediction Model to Allow Inter Languagereuse,19--24,,6,"error prone, inter language prediction, metrics, open source",10.1145/1370788.1370794,,,,,,,2008,,Proceedings of the 4th International Workshop on Predictor Models in Software Engineering,PROMISE '08,,978-1-60558-036-4,"Leipzig, Germany",ACM,"New York, NY, USA"
8,1062558,Nachiappan  Nagappan and Thomas  Ball,,,,Static Analysis Tools As Early Indicators of Pre-release Defect Density,580--586,,7,"defect density, fault-proneness, static analysis tools, statistical methods",10.1145/1062455.1062558,,,,,,,2005,,Proceedings of the 27th International Conference on Software Engineering,ICSE '05,,1-58113-963-2,"St. Louis, MO, USA",ACM,"New York, NY, USA"
9,1370772,Hideaki  Hata and Osamu  Mizuno and Tohru  Kikuno,,,,An Extension of Fault-prone Filtering Using Precise Training and a Dynamic Threshold,89--98,,10,"fault-prone modules, spam filter, text mining",10.1145/1370750.1370772,,,,,,,2008,,Proceedings of the 2008 International Working Conference on Mining Software Repositories,MSR '08,,978-1-60558-024-1,"Leipzig, Germany",ACM,"New York, NY, USA"
