current,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
10,1390820,Yoshiki  Higo and Kenji  Murao and Shinji  Kusumoto and Katsuro  Inoue,,,,Predicting Fault-prone Modules Based on Metrics Transitions,6--10,,5,,10.1145/1390817.1390820,,,,,,,2008,,Proceedings of the 2008 Workshop on Defects in Large Software Systems,DEFECTS '08,,978-1-60558-051-7,"Seattle, Washington",ACM,"New York, NY, USA"
11,1809231,Rachel  Burrows and Fabiano Cutigi Ferrari and Alessandro  Garcia and Fran&#231;ois  Ta&#239;ani,,,,An Empirical Evaluation of Coupling Metrics on Aspect-oriented Programs,53--58,,6,"aspect-oriented software, fault-proneness, metrics",10.1145/1809223.1809231,,,,,,,2010,,Proceedings of the 2010 ICSE Workshop on Emerging Trends in Software Metrics,WETSoM '10,,978-1-60558-976-3,"Cape Town, South Africa",ACM,"New York, NY, USA"
12,2108157,Satwinder  Singh and K. S. Kahlon,,,,Effectiveness of Refactoring Metrics Model to Identify Smelly and Error Prone Classes in Open Source Software,1--11,,11,"bad smells, empirical analysis, encapsulation, evolution, information hiding, refactoring",10.1145/2108144.2108157,SIGSOFT Softw. Eng. Notes,12-Mar,37,2,,April,2012,0163-5948,,,,,,ACM,"New York, NY, USA"
13,1007524,Thomas J. Ostrand and Elaine J. Weyuker and Robert M. Bell,,,,Where the Bugs Are,86--96,,11,"empirical study, fault-prone, prediction, regression model, software faults, software testing",10.1145/1007512.1007524,,,,,,,2004,,Proceedings of the 2004 ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA '04,,1-58113-820-2,"Boston, Massachusetts, USA",ACM,"New York, NY, USA"
14,1639974,Tudor  Dumitra&#351; and Iulian  Neamtiu and Eli  Tilevich,,,,Second ACM Workshop on Hot Topics in Software Upgrades (HotSWUp 2009),705--706,,2,software upgrades,10.1145/1639950.1639974,,,,,,,2009,,Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications,OOPSLA '09,,978-1-60558-768-4,"Orlando, Florida, USA",ACM,"New York, NY, USA"
15,1370793,Yue  Jiang and Bojan  Cuki and Tim  Menzies and Nick  Bartlow,,,,Comparing Design and Code Metrics for Software Quality Prediction,11--18,,8,"code metrics, design metrics, fault-proneness prediction, machine learning",10.1145/1370788.1370793,,,,,,,2008,,Proceedings of the 4th International Workshop on Predictor Models in Software Engineering,PROMISE '08,,978-1-60558-036-4,"Leipzig, Germany",ACM,"New York, NY, USA"
16,1298234,Yoram  Haddad and Gwendal  Le Grand,,,,Throughput Analysis of the Ieee 802.11e Edca on a Noisy Channel in Unsaturated Mode,78--81,,4,"802.11e, EDCA, QoS, error prone channel, finite load",10.1145/1298216.1298234,,,,,,,2007,,Proceedings of the 3rd ACM Workshop on Wireless Multimedia Networking and Performance Modeling,WMuNeP '07,,978-1-59593-804-6,"Chania, Crete Island, Greece",ACM,"New York, NY, USA"
17,1368190,Audris  Mockus and David  Weiss,,,,Interval Quality: Relating Customer-perceived Quality to Process Quality,723--732,,10,software metrics,10.1145/1368088.1368190,,,,,,,2008,,Proceedings of the 30th International Conference on Software Engineering,ICSE '08,,978-1-60558-079-1,"Leipzig, Germany",ACM,"New York, NY, USA"
18,1062514,Nachiappan  Nagappan and Thomas  Ball,,,,Use of Relative Code Churn Measures to Predict System Defect Density,284--292,,9,"defect density, fault-proneness, multiple regression, principal component analysis, relative code churn",10.1145/1062455.1062514,,,,,,,2005,,Proceedings of the 27th International Conference on Software Engineering,ICSE '05,,1-58113-963-2,"St. Louis, MO, USA",ACM,"New York, NY, USA"
19,2465571,Isabella  Stilkerich and Michael  Strotz and Christoph  Erhardt and Martin  Hoffmann and Daniel  Lohmann and Fabian  Scheler and Wolfgang  Schr&#246;der-Preikschat,,,,A JVM for Soft-error-prone Embedded Systems,21--32,,12,"KESO, RTSJ, embedded systems, java, real-time systems, reliability",10.1145/2465554.2465571,,,,,,,2013,,"Proceedings of the 14th ACM SIGPLAN/SIGBED Conference on Languages, Compilers and Tools for Embedded Systems",LCTES '13,,978-1-4503-2085-6,"Seattle, Washington, USA",ACM,"New York, NY, USA"
20,1297894,David  Hovemeyer and William  Pugh,,,,Status Report on JSR-305: Annotations for Software Defect Detection,799--800,,2,"Java, bugs, software quality, specifications, static analysis",10.1145/1297846.1297894,,,,,,,2007,,Companion to the 22Nd ACM SIGPLAN Conference on Object-oriented Programming Systems and Applications Companion,OOPSLA '07,,978-1-59593-865-7,"Montreal, Quebec, Canada",ACM,"New York, NY, USA"
21,961347,Yong Woo Kim,,,,Efficient Use of Code Coverage in Large-scale Software Development,145--155,,11,"Pareto-like defect distribution, code coverage, cyclomatic complexity, large-scale software development, software quality assurance",,,,,,,,2003,,Proceedings of the 2003 Conference of the Centre for Advanced Studies on Collaborative Research,CASCON '03,,,"Toronto, Ontario, Canada",IBM Press,
22,2020398,Tomi  Prifti and Sean  Banerjee and Bojan  Cukic,,,,Detecting Bug Duplicate Reports Through Local References,8:1--8:9,8,9,"bug tacking systems, duplicate bug reports, software maintenance, software quality",10.1145/2020390.2020398,,,,,,,2011,,Proceedings of the 7th International Conference on Predictive Models in Software Engineering,Promise '11,,978-1-4503-0709-3,"Banff, Alberta, Canada",ACM,"New York, NY, USA"
23,2069154,Muhammad  Tariq and Martin  Macuha and Yon-Jin  Park and Takuro  Sato,,,,Performance Evaluation of the IEEE 802.15.4 Multi-hop Communications in Error-prone Wireless Sensor Networks,131--136,,6,"communications overheads, ieee 802.15.4, link quality estimators, multi-hop communications",10.1145/2069131.2069154,,,,,,,2011,,Proceedings of the 9th ACM International Symposium on Mobility Management and Wireless Access,MobiWac '11,,978-1-4503-0901-1,"Miami, Florida, USA",ACM,"New York, NY, USA"
24,581371,Giovanni  Denaro and Mauro  Pezz&#232;,,,,An Empirical Evaluation of Fault-proneness Models,241--251,,11,"cross-validation, fault-proneness models, logistic regression, principal component analysis, software faultiness, software metrics, software process, testing process",10.1145/581339.581371,,,,,,,2002,,Proceedings of the 24th International Conference on Software Engineering,ICSE '02,,1-58113-472-X,"Orlando, Florida",ACM,"New York, NY, USA"
25,1218796,Yasser  Kotb and Takuya  Katayama,,,,Improving Software Documentation Using Textual Entailment,1--2,,2,"Natural Language Processing, error report, software quality, software testing, textual entailment",10.1145/1218776.1218796,SIGSOFT Softw. Eng. Notes,6-Nov,31,6,,November,2006,0163-5948,,,,,,ACM,"New York, NY, USA"
26,1449877,Tudor  Dumitras and Danny  Dig and Iulian  Neamtiu,,,,1st ACM Workshop on Hot Topics in Software Upgrades (HotSWUp 2008),837--838,,2,software upgrades,10.1145/1449814.1449877,,,,,,,2008,,Companion to the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications,OOPSLA Companion '08,,978-1-60558-220-7,"Nashville, TN, USA",ACM,"New York, NY, USA"
27,1159737,Piotr  Tomaszewski and Lars-Ola  Damm,,,,Comparing the Fault-proneness of New and Modified Code: An Industrial Case Study,2--7,,6,"fault prediction, fault-proneness, modified code",10.1145/1159733.1159737,,,,,,,2006,,Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering,ISESE '06,,1-59593-218-6,"Rio de Janeiro, Brazil",ACM,"New York, NY, USA"
28,2664476,Tse-Hsun  Chen and Stephen W. Thomas and Meiyappan  Nagappan and Ahmed E. Hassan,,,,Explaining Software Defects Using Topic Models,189--198,,10,"code quality, software concerns, topic modeling",,,,,,,,2012,,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,MSR '12,,978-1-4673-1761-0,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
29,1629432,Joseph  Sloan and Rakesh  Kumar,,,,Towards Scalable Reliability Frameworks for Error Prone CMPs,261--270,,10,"dynamic constitution, in-network fault tolerance",10.1145/1629395.1629432,,,,,,,2009,,"Proceedings of the 2009 International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES '09,,978-1-60558-626-7,"Grenoble, France",ACM,"New York, NY, USA"
30,2021235,Sung-Hwa  Lim and Se Won Lee and Byoung-Hoon  Lee and Seongil  Lee and Ho Woo Lee,,,,Energy-aware Checkpoint Intervals in Error-prone Mobile Networks,128--133,,6,"Markov chains, energy conservation, fault-tolerance, mobile devices, wireless networks",10.1145/2021216.2021235,,,,,,,2011,,Proceedings of the 6th International Conference on Queueing Theory and Network Applications,QTNA '11,,978-1-4503-0758-1,"Seoul, Korea",ACM,"New York, NY, USA"
31,2485341,Yavuz  Yetim and Margaret  Martonosi and Sharad  Malik,,,,Extracting Useful Computation from Error-prone Processors for Streaming Applications,202--207,,6,,,,,,,,,2013,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '13,,978-1-4503-2153-2,"Grenoble, France",EDA Consortium,"San Jose, CA, USA"
32,1457529,Yogesh  Singh and Arvinder  Kaur and Ruchika  Malhotra,,,,Application of Support Vector Machine to Predict Fault Prone Classes,1--6,,6,,10.1145/1457516.1457529,SIGSOFT Softw. Eng. Notes,9-Jan,34,1,,January,2009,0163-5948,,,,,,ACM,"New York, NY, USA"
33,1028677,Arnab  Bhattacharrya and Robert  Fuhrer,,,,Smell Detection for Eclipse,22--22,,1,"code smells, refactoring, software engineering, software quality",10.1145/1028664.1028677,,,,,,,2004,,"Companion to the 19th Annual ACM SIGPLAN Conference on Object-oriented Programming Systems, Languages, and Applications",OOPSLA '04,,1-58113-833-4,"Vancouver, BC, CANADA",ACM,"New York, NY, USA"
34,1146246,Robert M. Bell and Thomas J. Ostrand and Elaine J. Weyuker,,,,Looking for Bugs in All the Right Places,61--72,,12,"empirical study, fault-prone, prediction, regression model, software faults, software testing",10.1145/1146238.1146246,,,,,,,2006,,Proceedings of the 2006 International Symposium on Software Testing and Analysis,ISSTA '06,,1-59593-263-1,"Portland, Maine, USA",ACM,"New York, NY, USA"
35,1159738,Erik  Arisholm and Lionel C. Briand,,,,Predicting Fault-prone Components in a Java Legacy System,8--17,,10,,10.1145/1159733.1159738,,,,,,,2006,,Proceedings of the 2006 ACM/IEEE International Symposium on Empirical Software Engineering,ISESE '06,,1-59593-218-6,"Rio de Janeiro, Brazil",ACM,"New York, NY, USA"
36,2020994,Satwinder  Singh and K. S. Kahlon,,,,Effectiveness of Encapsulation and Object-oriented Metrics to Refactor Code and Identify Error Prone Classes Using Bad Smells,1--10,,10,"bad smells, empirical analysis, encapsulation, evolution, information hiding, refactoring",10.1145/2020976.2020994,SIGSOFT Softw. Eng. Notes,11-Sep,36,5,,September,2011,0163-5948,,,,,,ACM,"New York, NY, USA"
37,1273493,Thomas J. Ostrand and Elaine J. Weyuker and Robert M. Bell,,,,Automating Algorithms for the Identification of Fault-prone Files,219--227,,9,"empirical study, fault-prone, prediction, regression model, software faults, software testing",10.1145/1273463.1273493,,,,,,,2007,,Proceedings of the 2007 International Symposium on Software Testing and Analysis,ISSTA '07,,978-1-59593-734-6,"London, United Kingdom",ACM,"New York, NY, USA"
38,2000274,Franz  Brosch and Barbora  Buhnova and Heiko  Koziolek and Ralf  Reussner,,,,Reliability Prediction for Fault-tolerant Software Architectures,75--84,,10,"component-based software architectures, fault tolerance, reliability prediction, software product lines",10.1145/2000259.2000274,,,,,,,2011,,Proceedings of the Joint ACM SIGSOFT Conference -- QoSA and ACM SIGSOFT Symposium -- ISARCS on Quality of Software Architectures -- QoSA and Architecting Critical Systems -- ISARCS,QoSA-ISARCS '11,,978-1-4503-0724-6,"Boulder, Colorado, USA",ACM,"New York, NY, USA"
39,1507212,Dinesh Kumar Saini,,,,Testing Polymorphism in Object Oriented Systems for Improving Software Quality,1--5,,5,"inheritance, object orientated systems, polymorphism, quality, software testing",10.1145/1507195.1507212,SIGSOFT Softw. Eng. Notes,9-Mar,34,2,,February,2009,0163-5948,,,,,,ACM,"New York, NY, USA"
40,1390822,Yue  Jiang and Bojan  Cukic and Tim  Menzies,,,,Can Data Transformation Help in the Detection of Fault-prone Modules?,16--20,,5,,10.1145/1390817.1390822,,,,,,,2008,,Proceedings of the 2008 Workshop on Defects in Large Software Systems,DEFECTS '08,,978-1-60558-051-7,"Seattle, Washington",ACM,"New York, NY, USA"
41,1540462,Michael  English and Chris  Exton and Irene  Rigon and Brendan  Cleary,,,,Fault Detection and Prediction in an Open-source Software Project,17:1--17:11,17,11,"empirical study, fault prediction, metrics, open source, regression, software quality",10.1145/1540438.1540462,,,,,,,2009,,Proceedings of the 5th International Conference on Predictor Models in Software Engineering,PROMISE '09,,978-1-60558-634-2,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA"
42,2662724,Daniela  Steidl and Nils  G&#246;de,,,,Feature-based Detection of Bugs in Clones,76--82,,7,"bug detection, code clones, software quality",,,,,,,,2013,,Proceedings of the 7th International Workshop on Software Clones,IWSC '13,,978-1-4673-6445-4,"San Francisco, California",IEEE Press,"Piscataway, NJ, USA"
43,1414051,Yasutaka  Kamei and Akito  Monden and Shuji  Morisaki and Ken-ichi  Matsumoto,,,,A Hybrid Faulty Module Prediction Using Association Rule Mining and Logistic Regression Analysis,279--281,,3,"association rule mining, empirical study, fault-prone module prediction, logistic regression analysis",10.1145/1414004.1414051,,,,,,,2008,,Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '08,,978-1-59593-971-5,"Kaiserslautern, Germany",ACM,"New York, NY, USA"
44,2048181,Wouter  Poncin and Alexander  Serebrenik and Mark  van den Brand,,,,Mining Student Capstone Projects with FRASR and ProM,87--96,,10,"capstone project, mining software repositories, software engineering",10.1145/2048147.2048181,,,,,,,2011,,Proceedings of the ACM International Conference Companion on Object Oriented Programming Systems Languages and Applications Companion,OOPSLA '11,,978-1-4503-0942-4,"Portland, Oregon, USA",ACM,"New York, NY, USA"
45,999407,Nachiappan  Nagappan,,,,Toward a Software Testing and Reliability Early Warning Metric Suite,60--62,,3,"Software reliability, software metrics, software testing, software processes, empirical software engineering",,,,,,,,2004,,Proceedings of the 26th International Conference on Software Engineering,ICSE '04,,0-7695-2163-0,,IEEE Computer Society,"Washington, DC, USA"
46,2231972,Giuseppe  Destefanis and Roberto  Tonelli and Giulio  Concas and Michele  Marchesi,,,,An Analysis of Anti-micro-patterns Effects on Fault-proneness in Large Java Systems,1251--1253,,3,"anti patterns, metrics, micro patterns, object-oriented programming, software faults",10.1145/2245276.2231972,,,,,,,2012,,Proceedings of the 27th Annual ACM Symposium on Applied Computing,SAC '12,,978-1-4503-0857-1,"Trento, Italy",ACM,"New York, NY, USA"
47,1137712,Parastooi  Mohagheghi and Reidar  Conradi and Jon Arvid B&#248;rretzen,,,,Revisiting the Problem of Using Problem Reports for Quality Assessment,45--50,,6,"defect density, quality, validity",10.1145/1137702.1137712,,,,,,,2006,,Proceedings of the 2006 International Workshop on Software Quality,WoSQ '06,,1-59593-399-9,"Shanghai, China",ACM,"New York, NY, USA"
48,566181,Thomas J. Ostrand and Elaine J. Weyuker,,,,The Distribution of Faults in a Large Industrial Software System,55--64,,10,"empirical study, fault-prone, pareto, software faults, software testing",10.1145/566171.566181,SIGSOFT Softw. Eng. Notes,2-Jul,27,4,,July,2002,0163-5948,,,,,,ACM,"New York, NY, USA"
49,1806813,Fabiano  Ferrari and Rachel  Burrows and Ot&#225;vio  Lemos and Alessandro  Garcia and Eduardo  Figueiredo and Nelio  Cacho and Frederico  Lopes and Nathalia  Temudo and Liana  Silva and Sergio  Soares and Awais  Rashid and Paulo  Masiero and Thais  Batista and Jos&#233;  Maldonado,,,,An Exploratory Study of Fault-proneness in Evolving Aspect-oriented Programs,65--74,,10,"aspect-oriented programming, fault-proneness, software testing",10.1145/1806799.1806813,,,,,,,2010,,Proceedings of the 32Nd ACM/IEEE International Conference on Software Engineering - Volume 1,ICSE '10,,978-1-60558-719-6,"Cape Town, South Africa",ACM,"New York, NY, USA"
50,568824,Giovanni  Denaro and Sandro  Morasca and Mauro  Pezz&#232;,,,,Deriving Models of Software Fault-proneness,361--368,,8,"cross-validation, fault-proneness models, logistic regression, software faultiness, software metrics, software testing process",10.1145/568760.568824,,,,,,,2002,,Proceedings of the 14th International Conference on Software Engineering and Knowledge Engineering,SEKE '02,,1-58113-556-4,"Ischia, Italy",ACM,"New York, NY, USA"
51,1882311,Audris  Mockus,,,,Organizational Volatility and Its Effects on Software Defects,117--126,,10,"organizational volatility, software defects",10.1145/1882291.1882311,,,,,,,2010,,Proceedings of the Eighteenth ACM SIGSOFT International Symposium on Foundations of Software Engineering,FSE '10,,978-1-60558-791-2,"Santa Fe, New Mexico, USA",ACM,"New York, NY, USA"
52,2664480,Emanuel  Giger and Martin  Pinzger and Harald C. Gall,,,,Can We Predict Types of Code Changes?: An Empirical Analysis,217--226,,10,"machine learning, software maintenance, software quality",,,,,,,,2012,,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,MSR '12,,978-1-4673-1761-0,"Zurich, Switzerland",IEEE Press,"Piscataway, NJ, USA"
53,1287667,Elaine J. Weyuker,,,,Software Engineering Research: From Cradle to Grave,305--311,,7,"empirical study, fault-prone, prediction, regression model, software faults, software testing",10.1145/1287624.1287667,,,,,,,2007,,Proceedings of the the 6th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering,ESEC-FSE '07,,978-1-59593-811-4,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
54,2480669,"Rivalino  Matias,Jr. and Geycy Dyany Oliveira and Lucio Borges de Araujo",,,,Operating System Reliability from the Quality of Experience Viewpoint: An Exploratory Study,1644--1649,,6,"operating system, quality of experience, software reliability",10.1145/2480362.2480669,,,,,,,2013,,Proceedings of the 28th Annual ACM Symposium on Applied Computing,SAC '13,,978-1-4503-1656-9,"Coimbra, Portugal",ACM,"New York, NY, USA"
55,2393332,Inderpreet  Kaur and Arvinder  Kaur,,,,Empirical Study of Software Quality Estimation,694--700,,7,"Quality metrics, ROC, accuracy, bug, classifiers, confusion matrix, f-measure, fault proneness, object-orientedsoftware metrics, precision, recall, sensitivity, software maintenance, software quality, specificity",10.1145/2393216.2393332,,,,,,,2012,,"Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology",CCSEIT '12,,978-1-4503-1310-0,"Coimbatore UNK, India",ACM,"New York, NY, USA"
56,2379077,Lu&#227; Marcelo  Muriana and Cristiano  Maciel and Fabiana Freitas Mendes,,,,QualiCES: A Method for Verifying the Consistency Among Documents of the Engineering Phase,105--114,,10,"consistency, requirement engineering, software inspection, software quality",10.1145/2379057.2379077,,,,,,,2012,,Proceedings of the 30th ACM International Conference on Design of Communication,SIGDOC '12,,978-1-4503-1497-8,"Seattle, Washington, USA",ACM,"New York, NY, USA"
57,1868357,Thomas J. Ostrand and Elaine J. Weyuker and Robert M. Bell,,,,Programmer-based Fault Prediction,19:1--19:10,19,10,"bug ratio, empirical study, fault-prone, prediction, regression model, software faults",10.1145/1868328.1868357,,,,,,,2010,,Proceedings of the 6th International Conference on Predictive Models in Software Engineering,PROMISE '10,,978-1-4503-0404-7,"Timi&scedil;oara, Romania",ACM,"New York, NY, USA"
58,1083296,Stefan  Wagner and Tilman  Seifert,,,,Software Quality Economics for Defect-detection Techniques Using Failure Prediction,1--6,,6,"reliability model, software quality costs",10.1145/1082983.1083296,SIGSOFT Softw. Eng. Notes,5-Jul,30,4,,May,2005,0163-5948,,,,,,ACM,"New York, NY, USA"
59,512057,Shin-ichi  Sato and Akito  Monden and Ken-ichi  Matsumoto,,,,Evaluating the Applicability of Reliability Prediction Models Between Different Software,97--102,,6,"fault-prone module, metrics, prediction, software measurement, software reliability",10.1145/512035.512057,,,,,,,2002,,Proceedings of the International Workshop on Principles of Software Evolution,IWPSE '02,,1-58113-545-9,"Orlando, Florida",ACM,"New York, NY, USA"
60,1028690,Lan  Cao,,,,Modeling Dynamics of Agile Software Development,46--47,,2,"agile software development, software process simulation, system dynamics",10.1145/1028664.1028690,,,,,,,2004,,"Companion to the 19th Annual ACM SIGPLAN Conference on Object-oriented Programming Systems, Languages, and Applications",OOPSLA '04,,1-58113-833-4,"Vancouver, BC, CANADA",ACM,"New York, NY, USA"
61,1985482,Yukinao  Hirata and Osamu  Mizuno,,,,Do Comments Explain Codes Adequately?: Investigation by Text Filtering,242--245,,4,"comments, distance, fault-prone module, source code",10.1145/1985441.1985482,,,,,,,2011,,Proceedings of the 8th Working Conference on Mining Software Repositories,MSR '11,,978-1-4503-0574-7,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
62,1294954,Lerina  Aversano and Luigi  Cerulo and Concettina  Del Grosso,,,,Learning from Bug-introducing Changes to Prevent Fault Prone Code,19--26,,8,"bug prediction, mining software repositories, software evolution",10.1145/1294948.1294954,,,,,,,2007,,Ninth International Workshop on Principles of Software Evolution: In Conjunction with the 6th ESEC/FSE Joint Meeting,IWPSE '07,,978-1-59593-722-3,"Dubrovnik, Croatia",ACM,"New York, NY, USA"
63,1137709,Barry  Feigenbaum and Michael  Squillace,,,,Accessibility Validation with RAVEN,27--32,,6,"AOP, GUI, Java, accessibility, reflection, rich-client",10.1145/1137702.1137709,,,,,,,2006,,Proceedings of the 2006 International Workshop on Software Quality,WoSQ '06,,1-59593-399-9,"Shanghai, China",ACM,"New York, NY, USA"
64,1269058,A. Gunes Koru and Dongsong  Zhang and Hongfang  Liu,,,,Modeling the Effect of Size on Defect Proneness for Open-Source Software,10--,,,,10.1109/PROMISE.2007.9,,,,,,,2007,,Proceedings of the Third International Workshop on Predictor Models in Software Engineering,PROMISE '07,,0-7695-2954-2,,IEEE Computer Society,"Washington, DC, USA"
65,2384727,Jens  Dietrich,,,,"Upload Your Program, Share Your Model",21--22,,2,"software architecture recovery, software as a service",10.1145/2384716.2384727,,,,,,,2012,,"Proceedings of the 3rd Annual Conference on Systems, Programming, and Applications: Software for Humanity",SPLASH '12,,978-1-4503-1563-0,"Tucson, Arizona, USA",ACM,"New York, NY, USA"
66,2372308,Syed Muhammad Ali Shah and Maurizio  Morisio and Marco  Torchiano,,,,The Impact of Process Maturity on Defect Density,315--318,,4,"defect density, software process, software quality",10.1145/2372251.2372308,,,,,,,2012,,Proceedings of the ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '12,,978-1-4503-1056-7,"Lund, Sweden",ACM,"New York, NY, USA"
67,1555078,Georgios  Gousios and Diomidis  Spinellis,,,,Alitheia Core: An Extensible Software Quality Monitoring Platform,579--582,,4,,10.1109/ICSE.2009.5070560,,,,,,,2009,,Proceedings of the 31st International Conference on Software Engineering,ICSE '09,,978-1-4244-3453-4,,IEEE Computer Society,"Washington, DC, USA"
68,1266714,Sung-Jui  Pan and Kwang-Ting  Cheng,,,,A Framework for System Reliability Analysis Considering Both System Error Tolerance and Component Test Quality,1581--1586,,6,,,,,,,,,2007,,"Proceedings of the Conference on Design, Automation and Test in Europe",DATE '07,,978-3-9810801-2-4,"Nice, France",EDA Consortium,"San Jose, CA, USA"
69,2372261,Maximilian  Steff and Barbara  Russo,,,,Characterizing the Roles of Classes and Their Fault-proneness Through Change Metrics,59--68,,10,"fault-proneness, product metrics, software architectures",10.1145/2372251.2372261,,,,,,,2012,,Proceedings of the ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,ESEM '12,,978-1-4503-1056-7,"Lund, Sweden",ACM,"New York, NY, USA"
70,1269020,Osamu  Mizuno and Shiro  Ikami and Shuya  Nakaichi and Tohru  Kikuno,,,,Spam Filter Based Approach for Finding Fault-Prone Software Modules,4--,,,,10.1109/MSR.2007.29,,,,,,,2007,,Proceedings of the Fourth International Workshop on Mining Software Repositories,MSR '07,,0-7695-2950-X,,IEEE Computer Society,"Washington, DC, USA"
